zip_code,latitude,longitude,distance,duration
22308,38.731352,-77.061923,14.0 mi,28 mins
22309,38.718398,-77.107164,20.7 mi,30 mins
22310,38.782006,-77.122048,14.4 mi,23 mins
22311,38.833892999999996,-77.122082,6.9 mi,13 mins
22312,38.817522,-77.152674,8.9 mi,15 mins
22314,38.814029999999995,-77.063962,6.9 mi,15 mins
22315,38.7575,-77.136609,15.6 mi,25 mins
22401,38.298282,-77.491386,51.4 mi,54 mins
22405,38.31984,-77.411584,51.3 mi,57 mins
22406,38.402857,-77.54719,51.1 mi,59 mins
22407,38.263428,-77.598161,57.4 mi,1 hour 5 mins
22408,38.208853,-77.402934,60.2 mi,1 hour 8 mins
22427,38.024761,-77.249305,88.5 mi,1 hour 31 mins
22432,37.858897999999996,-76.340852,135 mi,2 hours 31 mins
22433,38.3614,-77.866638,73.8 mi,1 hour 24 mins
22435,37.933486,-76.569604,117 mi,2 hours 9 mins
22436,38.103377,-77.101182,80.1 mi,1 hour 28 mins
22437,37.796048,-76.731963,113 mi,2 hours 5 mins
22438,38.042582,-76.995786,88.9 mi,1 hour 36 mins
22443,38.177557,-76.984687,68.0 mi,1 hour 31 mins
22448,38.339009999999995,-77.03275,53.7 mi,1 hour 13 mins
22454,37.848319000000004,-76.83924,107 mi,1 hour 56 mins
22460,37.86389,-76.619216,117 mi,2 hours 8 mins
22469,38.062622,-76.659761,92.9 mi,2 hours 3 mins
22473,37.883894,-76.395546,130 mi,2 hours 26 mins
22476,38.038781,-77.068756,86.2 mi,1 hour 35 mins
22480,37.664679,-76.415555,140 mi,2 hours 36 mins
22482,37.739132,-76.351509,137 mi,2 hours 32 mins
22485,38.271078,-77.172762,71.6 mi,1 hour 18 mins
22488,38.041722,-76.587492,97.0 mi,2 hours 6 mins
22503,37.733783,-76.529851,129 mi,2 hours 22 mins
22504,37.757496,-76.726784,115 mi,2 hours 5 mins
22508,38.311254999999996,-77.783957,66.8 mi,1 hour 13 mins
22509,38.081703,-77.039341,84.4 mi,1 hour 33 mins
22511,37.990736,-76.495479,124 mi,2 hours 19 mins
22514,37.960341,-77.243082,88.0 mi,1 hour 30 mins
22520,38.109482,-76.807728,82.8 mi,1 hour 50 mins
22534,38.067824,-77.67717,76.1 mi,1 hour 20 mins
22535,38.119938,-77.24986,78.9 mi,1 hour 32 mins
22538,38.20372,-77.244974,72.1 mi,1 hour 18 mins
