state,zip_code,zip_url,latitude,longitude,population,house_value,household_income
VA,20171,https://www.zip-codes.com/zip-code/20171/zip-code-20171.asp,38.926604,-77.391188,55429,613200,141559
VA,20175,https://www.zip-codes.com/zip-code/20175/zip-code-20175.asp,39.05227100000000,-77.603577,33739,487700,132594
VA,20176,https://www.zip-codes.com/zip-code/20176/zip-code-20176.asp,39.160038,-77.521852,51930,495600,128167
VA,20180,https://www.zip-codes.com/zip-code/20180/zip-code-20180.asp,39.268742000000000,-77.629255,8400,456000,135212
VA,20181,https://www.zip-codes.com/zip-code/20181/zip-code-20181.asp,38.690627,-77.573274,9579,470800,133902
VA,20184,https://www.zip-codes.com/zip-code/20184/zip-code-20184.asp,39.009648,-77.871797,526,546700,72163
VA,20186,https://www.zip-codes.com/zip-code/20186/zip-code-20186.asp,38.705946,-77.849508,15369,391500,84327
VA,20187,https://www.zip-codes.com/zip-code/20187/zip-code-20187.asp,38.722686,-77.741378,19034,435700,126532
VA,20190,https://www.zip-codes.com/zip-code/20190/zip-code-20190.asp,38.960974,-77.342467,21784,461700,106929
VA,20191,https://www.zip-codes.com/zip-code/20191/zip-code-20191.asp,38.93112,-77.351394,30085,470300,116842
VA,20194,https://www.zip-codes.com/zip-code/20194/zip-code-20194.asp,38.982667,-77.341454,13425,626000,128859
VA,20197,https://www.zip-codes.com/zip-code/20197/zip-code-20197.asp,39.19240900000000,-77.6253,2264,748700,149545
VA,20198,https://www.zip-codes.com/zip-code/20198/zip-code-20198.asp,38.87818,-77.7499,1968,387800,84792
VA,22003,https://www.zip-codes.com/zip-code/22003/zip-code-22003.asp,38.83775900000000,-77.210328,56433,542400,101850
VA,22015,https://www.zip-codes.com/zip-code/22015/zip-code-22015.asp,38.785306,-77.286075,43224,493500,133286
VA,22025,https://www.zip-codes.com/zip-code/22025/zip-code-22025.asp,38.597162,-77.34442,18753,375600,117600
VA,22026,https://www.zip-codes.com/zip-code/22026/zip-code-22026.asp,38.567808,-77.296681,21474,287900,89886
VA,22027,https://www.zip-codes.com/zip-code/22027/zip-code-22027.asp,38.895034,-77.220454,2147,914400,250000
VA,22030,https://www.zip-codes.com/zip-code/22030/zip-code-22030.asp,38.837256,-77.34200800000000,54413,581200,119624
